"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000004779",1334.24805106253,2.71414112899494e-06,0.00144252802018021,0.806183414980767,0.929790786980923
"ENSG00000004799",842.826691615894,-3.08498363067017e-06,0.00144269172856381,0.840484277248185,0.941637514295702
"ENSG00000004809",3.00388506083669,-8.19914791323022e-07,0.001442693120585,0.497913343367845,NA
"ENSG00000004838",3.62612532772677,-9.65770137897563e-08,0.0014426865601955,0.968273953568937,NA
"ENSG00000004846",16.8834507479702,-2.68560546648685e-06,0.00144268400791712,0.367001935981858,0.674597325772702
"ENSG00000004864",1583.74787369658,-7.59287223480422e-06,0.0014425860193419,0.470971107745622,0.750723678144083
"ENSG00000004866",696.802854083906,-1.86413459745497e-05,0.00144262462136181,0.0548670426735753,0.266379168121937
"ENSG00000004897",4494.49100594225,5.65536570888638e-06,0.00144241532037495,0.694059275992642,0.881385184438594
"ENSG00000004939",8.80413676820773,-2.33599452559344e-06,0.00144267293059118,0.566110870255286,0.811145140904509
"ENSG00000004961",894.378222699387,-1.31504775644707e-05,0.00144263075781314,0.110724640097007,0.377695514969448
"ENSG00000004975",1058.23670169073,1.83879196518386e-06,0.00144246297818501,0.446602669045581,0.734876237646794
"ENSG00000005001",0.122132441625645,4.79735279414612e-07,0.00144269496662254,0.786090858593023,NA
"ENSG00000005007",4417.32852687886,-1.08782228058179e-05,0.00144232629102177,0.515657159212902,0.781192702673412
"ENSG00000005020",2405.81328148622,-5.72991356205448e-06,0.00144260286616777,0.494423389085195,0.767843773307093
"ENSG00000005022",6355.64871843499,-2.01438235467877e-06,0.00144252503924362,0.854666574690717,0.947089765643347
"ENSG00000005059",1011.30771318844,1.18583073157729e-05,0.00144265552583561,0.828165117683879,0.938697218967166
"ENSG00000005073",59.887989840655,-7.30093138569598e-07,0.00144269276459214,0.587515147207927,0.825128112989865
"ENSG00000005075",500.236270898519,-3.3062599807958e-06,0.00144255881268263,0.802101400696559,0.928554031609352
"ENSG00000005100",1938.98602165834,8.40938020789055e-06,0.00144247978286581,0.512129738491696,0.778639103541507
"ENSG00000005102",3.9166975922652,-3.919718521864e-06,0.00144269451789284,0.0122511122749739,NA
"ENSG00000005108",2577.39970145424,2.05610537558052e-06,0.00144267775332067,0.570871172719126,0.814416340450263
"ENSG00000005156",875.646936097153,6.0980169215041e-06,0.00144255567253597,0.552769575041468,0.803511239336155
"ENSG00000005175",877.183462047945,-8.29074854262541e-06,0.00144253163299085,0.459968204189315,0.743818877030149
"ENSG00000005187",60.2091610418521,-3.67478967117263,0.746475956286155,0.0127172484438157,0.129150432579177
"ENSG00000005189",133.43110011951,-2.9571482109701e-06,0.00144266463330572,0.536792202878429,0.794199473921622
"ENSG00000005194",1527.54216296395,-9.53851831058947e-06,0.00144259007798771,0.306352095042965,0.621317244537988
"ENSG00000005206",1235.51983707051,1.15596917103931e-05,0.0014423689481977,0.498179917291675,0.77057462872096
"ENSG00000005238",1946.48973022767,-8.43843773509083e-06,0.00144269020508675,0.0173867748496061,0.149967476487743
"ENSG00000005243",274.150110018387,-2.37799095101987e-05,0.0014427768133685,0.407150286873047,0.709135995566448
"ENSG00000005249",2083.12612755419,-1.12780673208945e-05,0.00144269745940736,0.0171120269764552,0.148491816956224
"ENSG00000005302",1731.95156325683,-1.00743871854162e-05,0.00144261890669382,0.220235145545789,0.531324459189686
"ENSG00000005339",5017.30771961788,2.10508066689158e-05,0.00144253997156263,0.103942282478123,0.366078048876072
"ENSG00000005379",2.47318210804405,-2.04684365678213e-06,0.00144268911979026,0.349233167299244,NA
"ENSG00000005381",3.3517394142142,-3.6353758949576e-06,0.0014426939504763,0.0219017649977998,NA
"ENSG00000005421",1.90755873845481,2.88321318015716e-06,0.00144269193625828,0.113188531054751,NA
"ENSG00000005436",738.993063579545,8.60892428984695e-06,0.00144258708356309,0.357074483834872,0.666428264199583
"ENSG00000005448",327.24607810696,-5.90640438729358e-06,0.00144261402932309,0.455232769298434,0.740348548820923
"ENSG00000005469",274.417540053116,-2.01864568152868e-05,0.00144272683977767,0.000156234067021865,0.0167796746744392
"ENSG00000005471",10.8276206761029,0.905815050966761,0.481729775087519,8.84325733575623e-06,0.00660736426698509
"ENSG00000005483",4063.37382791678,1.61664672388006e-05,0.00144264903845293,0.111920513676197,0.379705998294281
"ENSG00000005486",1233.84449943047,-1.17632471710059e-06,0.00144251449650318,0.917186741999017,0.971800228459253
"ENSG00000005513",25.7894684828738,2.5721310334338e-06,0.00144268778866182,0.297968681054954,0.61381242217525
"ENSG00000005700",2544.0074149452,2.06676329611999e-05,0.00144249571691371,0.141440255878645,0.426340431593319
"ENSG00000005801",1021.42004427029,2.22965811757581e-05,0.00144252717606543,0.0878703009406288,0.337189248959696
"ENSG00000005810",7837.63299816717,1.57216825762542e-05,0.0014426739174157,0.0211111160522241,0.16559580555781
"ENSG00000005812",1382.63500643669,9.44911505542613e-06,0.00144257585179845,0.33514696556476,0.647873264645816
"ENSG00000005844",50.5870925876585,-7.96059473247014e-06,0.00144265097585839,0.224001814073854,0.535606579162641
"ENSG00000005882",405.378349842077,2.18558416342538e-06,0.00144254768154013,0.833267612097802,0.940230885878951
"ENSG00000005884",10879.526528659,-7.67685414329569e-06,0.00144265507596016,0.201578565244171,0.50938212542926
"ENSG00000005889",1431.84323206701,8.82230936774301e-06,0.00144262503096294,0.256433023685768,0.572431338762924
"ENSG00000005893",7309.14607193588,-1.5894822931398e-05,0.00144264197865654,0.0571853473254771,0.272621576620582
"ENSG00000005961",29.5511245392924,1.09950261997377e-05,0.00144268901013823,0.0129044851217456,0.13015939125377
"ENSG00000005981",11.3436537571446,-1.05165683817781e-07,0.00144266755249524,0.980791791058086,0.993875622934758
"ENSG00000006007",1700.5911297365,-0.445323590592076,0.178171869868859,0.000346598101114154,0.0238910783667923
