"","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol"
"ENSG00000163072",497.70606564895,-2.45368409700607,0.552080684934065,3.01885437258028e-07,0.0012108021117545,"NOSTRIN"
"ENSG00000273328",11.1531907923427,1.02908324615942,0.225378913541739,2.29848306502894e-07,0.0012108021117545,NA
"ENSG00000106853",1596.49274785634,-1.53341986844624,0.362119433249832,7.54588231372914e-07,0.00252208539865874,"PTGR1"
"ENSG00000179046",229.726258520668,-2.36160251144415,0.5963359697004,2.43770711894631e-06,0.00468499542089541,"TRIML2"
"ENSG00000115828",447.634938771294,-2.26762847500101,0.588342868998935,3.72027793988354e-06,0.00539315266969607,"QPCT"
"ENSG00000124313",234.70918119091,-1.17804980803602,0.304053008982909,3.76504125739229e-06,0.00539315266969607,"IQSEC2"
"ENSG00000168824",207.711332890325,-2.4133495184998,0.633884022618481,4.42377322085333e-06,0.00561795821555078,"NSG1"
"ENSG00000212766",18.1174946743821,-1.44504113064493,0.378692538881794,5.0425475157033e-06,0.00561795821555078,"EWSAT1"
"ENSG00000111335",1756.86624036502,-1.74474993704582,0.466651318846688,5.88522767485092e-06,0.00590111778957302,"OAS2"
"ENSG00000100399",28.8994850658502,-1.01488716636448,0.275630219275524,8.7455541560249e-06,0.00660736426698509,"CHADL"
"ENSG00000102098",175.628419831459,1.14799928386223,0.30984038792383,8.06202328647168e-06,0.00660736426698509,"SCML2"
"ENSG00000174236",39.0089824931213,1.22367497556858,0.329180295596346,7.44206288103571e-06,0.00660736426698509,"REP15"
"ENSG00000133069",91.1973151594301,-1.03251311782296,0.285742517268401,1.03850742488756e-05,0.00702952824746554,"TMCC2"
"ENSG00000204682",315.216824161319,1.01197945724148,0.279517296769133,1.08664294241264e-05,0.00702952824746554,"MIR1915HG"
"ENSG00000110031",301.219107658513,-1.04310973276803,0.291832960194465,1.20012205518702e-05,0.00729310536203654,"LPXN"
"ENSG00000230400",18.6183842497513,-1.30649582070058,0.365656716041225,1.23886275460615e-05,0.0073071040237858,NA
"ENSG00000100473",77.6363415746875,2.24297466143677,0.629695521524522,1.33940751032833e-05,0.00767442234632122,"COCH"
"ENSG00000129538",2129.88122729094,-2.54767845775849,0.730181146058503,1.43616314139557e-05,0.00782654589230445,"RNASE1"
"ENSG00000174130",147.740223537333,-1.56120701150574,0.447135197173676,1.55465780996421e-05,0.00799413018487751,"TLR6"
"ENSG00000187608",913.887074749531,-1.38717827700486,0.408051716661084,2.16468913576396e-05,0.00904389081846052,"ISG15"
"ENSG00000050555",66.8111680574347,1.79161056620894,0.532334232848321,2.73536806292739e-05,0.00918727303871516,"LAMC3"
"ENSG00000163599",72.0001841340871,3.54184136751488,1.0468418726454,2.27026054372504e-05,0.00918727303871516,"CTLA4"
"ENSG00000258791",97.1892960137704,-1.75405838642466,0.528935982858095,2.80118319061006e-05,0.00918727303871516,"LINC00520"
"ENSG00000081041",70.2670879927609,-1.20784288265719,0.368677795338751,3.37880432419325e-05,0.00958471344201042,"CXCL2"
"ENSG00000126709",951.629265461033,-1.65734936873752,0.511848404424557,3.63222480283623e-05,0.00986955447193802,"IFI6"
"ENSG00000176928",29.1767483433036,-1.77877668788232,0.55002386948747,3.78207556180493e-05,0.00997970306795212,"GCNT4"
"ENSG00000151012",5762.11424050661,-1.09529284510293,0.333377497574469,4.15479391316026e-05,0.0106820816839123,"SLC7A11"
"ENSG00000250120",39.5136776893014,-1.50668991561387,0.471834270212296,4.29836610385905e-05,0.0107749292308487,"PCDHA10"
"ENSG00000227640",72.3453968765415,2.33456751611242,0.730773443696847,4.64266414828545e-05,0.0109534102152608,"SOX21-AS1"
"ENSG00000125657",43.6242364423605,-1.5044562995972,0.47862837554584,5.1117440807848e-05,0.0111667209863439,"TNFSF9"
"ENSG00000171388",24278.9779557684,-1.71533994754454,0.548943609675672,5.1576806753259e-05,0.0111667209863439,"APLN"
"ENSG00000180432",17.6163255076556,1.02157183067336,0.320421284826618,5.02245010123802e-05,0.0111667209863439,"CYP8B1"
"ENSG00000279118",67.6742986221151,1.23597337544847,0.387745363764517,5.02984855672705e-05,0.0111667209863439,NA
"ENSG00000149201",73.6933393748801,-1.37440094017567,0.440268845353573,5.52400668674084e-05,0.0114153967347554,"CCDC81"
"ENSG00000187068",235.425551391876,1.23813609475011,0.395977448745492,6.04764049514563e-05,0.0114153967347554,"C3orf70"
"ENSG00000228794",1896.20374836424,1.00633332687068,0.315690677919833,5.64805520796982e-05,0.0114153967347554,"LINC01128"
"ENSG00000235122",16.0164602441558,1.25624439402003,0.400731931132542,5.92426102225339e-05,0.0114153967347554,"LOC101927020"
"ENSG00000107742",112.869131088031,1.22865189818046,0.397848565460996,6.87349680748159e-05,0.0126459729336914,"SPOCK2"
"ENSG00000213185",98.1887018600066,-1.26861823460281,0.416868313769556,7.14028252842403e-05,0.0126979225718427,"FAM24B"
"ENSG00000188211",624.020732612626,-1.26631131670259,0.419246425338288,7.45519747059063e-05,0.0128496015199189,"NCR3LG1"
"ENSG00000181019",5516.21189341256,-1.34164406706667,0.446215162788053,7.79189039750368e-05,0.0130215475026282,"NQO1"
"ENSG00000183486",150.229730836426,-1.70827417321261,0.577320920213789,8.70036662211209e-05,0.0140170486539975,"MX2"
"ENSG00000119900",2965.0979721051,-1.16077726885551,0.393472092316984,9.20831172944506e-05,0.0143875351968288,"OGFRL1"
"ENSG00000101298",427.489399313932,-1.10224792123106,0.373566645899097,9.51052419826836e-05,0.0146710809440057,"SNPH"
